ID	HeadCS
NT-d14-08 	14.4809689655821
NT-d14-09 	12.4061625726054
NT-d14-10 	10.8844886950777
NT-d14-11 	14.4015703499135
NT-d14-12 	15.4070112076492
NT-d14-13 	12.8607796439736
NT-d14-14 	12.9609648459013
NT-d14-15 	14.1806018196296
NT-d14-16 	13.7771977723904
NT-d14-17 	12.6517297506085
HC-d5-01 	11.4544108304522
HC-d5-02 	11.0720355964749
HC-d5-03 	10.8765138522454
HC-d5-04 	10.5845837993958
HC-d5-05 	10.5810539595758
HC-d5-06 	10.6773567824226
HC-d5-07 	10.7504543643627
HC-d5-08 	11.1469449764582
HC-d5-09 	11.4299994935468
HC-d5-10 	11.6722286071498
HC-d5-11 	11.8055965326752
HC-d5-12 	11.9672993420292
HC-d5-13 	11.1925363074255
